req_id,measurer,measurement,pos,t_start,t_end,t_corr,t_img,u_max,u_exp,u
2e96ec92,img_2,visible,"[406.402957876742, -4426.166406887766, 4574.33167093784]",0.0,86400.0,86400.0,2730.0,1.0,0.3333333333333333,0.1076003086419753
2e9da6cc,img_2,visible,"[122.6874676565995, -4156.697815105328, 4836.055595271449]",0.0,86400.0,86400.0,2760.0,1.0,0.3333333333333333,0.10756172839506173
2e96ec92,thm_2,thermal,"[406.402957876742, -4426.166406887766, 4574.33167093784]",0.0,86400.0,86400.0,2760.0,1.0,0.3333333333333333,0.10756172839506173
2ea5f322,sar_2,sar,"[-1105.7326004745603, 2672.4975525235704, 5684.693035633585]",0.0,86400.0,86400.0,2800.0,1.0,0.3333333333333333,0.10751028806584362
2ea647fa,img_2,visible,"[1114.3333362144322, -3833.713792656991, 4974.085085035283]",0.0,86400.0,86400.0,2880.0,1.0,0.3333333333333333,0.10740740740740741
2ea22076,img_2,visible,"[818.7321547956418, -3678.3130987807463, 5145.902551294512]",0.0,86400.0,86400.0,2890.0,1.0,0.3333333333333333,0.10739454732510287
2ea3ae32,img_2,visible,"[915.182958438889, -3660.6480566836904, 5142.248401143089]",0.0,86400.0,86400.0,2900.0,1.0,0.3333333333333333,0.10738168724279835
2e9fd906,img_2,visible,"[1269.1043438792206, -3445.6511992852834, 5215.120769319583]",0.0,86400.0,86400.0,2950.0,1.0,0.3333333333333333,0.10731738683127573
2e985708,sar_1,sar,"[6014.1031452935595, 1558.3861246245847, 1443.128097476237]",0.0,86400.0,86400.0,3500.0,1.0,0.3333333333333333,0.10661008230452675
2ea4385c,thm_2,thermal,"[4120.5546538434155, -4849.729988828745, -426.3461522310145]",0.0,86400.0,86400.0,3630.0,1.0,0.3333333333333333,0.1064429012345679
55669a98,thm_2,thermal,"[4120.5546538434155, -4849.729988828745, -426.3461522310145]",760.0,1760.0,1000.0,3630.0,0.2065584630170247,0.10327923150851236,0.0
2e9b6fd8,img_2,visible,"[3267.3565544461812, 716.4968398696386, 5430.620230319194]",0.0,86400.0,86400.0,3670.0,1.0,0.3333333333333333,0.10639146090534979
2ea79f24,img_2,visible,"[3215.466400144968, 863.9282545673157, 5440.131107048499]",0.0,86400.0,86400.0,3680.0,1.0,0.3333333333333333,0.10637860082304526
2ea02d98,img_2,visible,"[2908.9148357225654, 1529.2317675417105, 5466.286430569853]",0.0,86400.0,86400.0,3760.0,1.0,0.3333333333333333,0.10627572016460904
2ea7c9e0,img_2,visible,"[3493.7851743971746, 2290.3937552979546, 4819.562662963553]",0.0,86400.0,86400.0,3920.0,1.0,0.3333333333333333,0.10606995884773662
