plan_index,t_plan,req_id,subtask_index,t_img,u_exp
213,7160.0,8806ecce,2,9320.0,0.297
213,7160.0,8806ece6,2,13140.0,0.283
214,7190.0,8806ece8,2,7370.0,0.305
214,7190.0,8806ecce,2,9320.0,0.297
214,7190.0,8806ece6,2,13140.0,0.283
215,7190.0,8806ece8,2,7370.0,0.305
215,7190.0,8806ecce,2,9320.0,0.297
215,7190.0,8806ece6,2,13140.0,0.283
216,7370.0,8806ecce,2,9320.0,0.297
216,7370.0,8806ece6,2,13140.0,0.283
216,7370.0,8806ed17,2,13430.0,0.282
217,7370.0,8806ecce,2,9320.0,0.297
217,7370.0,8806ece6,2,13140.0,0.283
217,7370.0,8806ed17,2,13430.0,0.282
218,7830.0,8806ecce,2,9320.0,0.297
218,7830.0,8806ece6,2,13140.0,0.283
218,7830.0,8806ed17,2,13430.0,0.282
219,7830.0,8806ecce,2,9320.0,0.297
219,7830.0,8806ece6,2,13140.0,0.283
219,7830.0,8806ed17,2,13430.0,0.282
220,7870.0,8806ecce,2,9320.0,0.297
220,7870.0,8806ece6,2,13140.0,0.283
220,7870.0,8806ed17,2,13430.0,0.282
221,7870.0,8806ecce,2,9320.0,0.297
221,7870.0,8806ece6,2,13140.0,0.283
222,7870.0,8806ecce,2,9320.0,0.297
222,7870.0,8806ece6,2,13140.0,0.283
223,7870.0,8806ecce,2,9320.0,0.297
223,7870.0,8806ece6,2,13140.0,0.283
224,7920.0,8806ecce,2,9320.0,0.297
224,7920.0,8806ece6,2,13140.0,0.283
225,7920.0,8806ecce,2,9320.0,0.297
225,7920.0,8806ece6,2,13140.0,0.283
226,7920.0,8806ecce,2,9320.0,0.297
226,7920.0,8806ece6,2,13140.0,0.283
227,8130.0,8806ecce,2,9320.0,0.297
227,8130.0,8806ece6,2,13140.0,0.283
228,8130.0,8806ecce,2,9320.0,0.297
228,8130.0,8806ece6,2,13140.0,0.283
229,8130.0,8806ecce,2,9320.0,0.297
229,8130.0,8806ece6,2,13140.0,0.283
230,8320.0,8806ecce,2,9320.0,0.297
230,8320.0,8806ece6,2,13140.0,0.283
231,8320.0,8806ecce,2,9320.0,0.297
231,8320.0,8806ece6,2,13140.0,0.283
232,8320.0,8806ecce,2,9320.0,0.297
232,8320.0,8806ece6,2,13140.0,0.283
233,8350.0,8806ecce,2,9320.0,0.297
233,8350.0,8806ece6,2,13140.0,0.283
234,8350.0,8806ecce,2,9320.0,0.297
234,8350.0,8806ece6,2,13140.0,0.283
235,8350.0,8806ecce,2,9320.0,0.297
235,8350.0,8806ece6,2,13140.0,0.283
236,8360.0,8806ecce,2,9320.0,0.297
236,8360.0,8806ece6,2,13140.0,0.283
237,8360.0,8806ecce,2,9320.0,0.297
237,8360.0,8806ece6,2,13140.0,0.283
238,8360.0,8806ecce,2,9320.0,0.297
238,8360.0,8806ece6,2,13140.0,0.283
239,8440.0,8806ecce,2,9320.0,0.297
239,8440.0,8806ece6,2,13140.0,0.283
240,8440.0,8806ecce,2,9320.0,0.297
240,8440.0,8806ece6,2,13140.0,0.283
241,8440.0,8806ecce,2,9320.0,0.297
241,8440.0,8806ece6,2,13140.0,0.283
242,8630.0,8806ecce,2,9320.0,0.297
