GRID COVERAGE
Epoch [JDUT1] is 2458849.5
Step size [s] is 10.0
Mission Duration [Days] is 1.0
time index,GP index,lat [deg],lon [deg]
414,1462,44.673,22.531
414,1564,46.548,30.681
414,1604,45.981,34.556
414,1900,45.337,28.414
414,2216,48.595,27.455
414,2240,45.199,33.419
414,2618,46.827,31.59
414,2745,46.186,34.252
414,2810,45.4,28.986
414,2873,46.562,30.74
414,3303,45.486,29.152
414,3567,45.443,33.202
414,3901,46.188,33.765
414,4082,47.841,27.226
414,4724,49.478,32.689
414,4855,47.279,29.122
415,90,46.781,33.373
415,97,49.081,33.247
415,117,46.147,34.805
415,264,50.587,30.524
415,333,44.691,28.997
415,337,48.556,34.543
415,369,49.77,31.476
415,370,46.015,34.402
415,466,46.078,30.468
415,790,45.335,28.706
415,791,45.82,30.134
415,850,46.116,34.038
415,878,45.587,29.715
415,1246,44.616,28.93
415,1288,46.657,31.177
415,1308,47.87,35.09
415,1564,46.548,30.681
415,1604,45.981,34.556
415,1900,45.337,28.414
415,2216,48.595,27.455
415,2240,45.199,33.419
415,2618,46.827,31.59
415,2745,46.186,34.252
415,2810,45.4,28.986
415,2873,46.562,30.74
415,3303,45.486,29.152
415,3567,45.443,33.202
415,3901,46.188,33.765
415,4082,47.841,27.226
415,4724,49.478,32.689
415,4855,47.279,29.122
415,4873,48.485,35.16
416,90,46.781,33.373
416,97,49.081,33.247
416,117,46.147,34.805
416,264,50.587,30.524
416,333,44.691,28.997
416,337,48.556,34.543
416,369,49.77,31.476
416,370,46.015,34.402
416,466,46.078,30.468
416,790,45.335,28.706
416,791,45.82,30.134
416,850,46.116,34.038
416,878,45.587,29.715
416,1246,44.616,28.93
416,1288,46.657,31.177
416,1308,47.87,35.09
416,1564,46.548,30.681
416,1604,45.981,34.556
416,1900,45.337,28.414
416,2216,48.595,27.455
416,2240,45.199,33.419
416,2618,46.827,31.59
416,2745,46.186,34.252
416,2810,45.4,28.986
416,2873,46.562,30.74
416,3303,45.486,29.152
416,3567,45.443,33.202
416,3901,46.188,33.765
416,4082,47.841,27.226
416,4724,49.478,32.689
416,4855,47.279,29.122
416,4873,48.485,35.16
417,90,46.781,33.373
417,97,49.081,33.247
417,264,50.587,30.524
417,333,44.691,28.997
417,337,48.556,34.543
417,369,49.77,31.476
417,370,46.015,34.402
417,466,46.078,30.468
417,790,45.335,28.706
417,791,45.82,30.134
417,850,46.116,34.038
417,878,45.587,29.715
417,1246,44.616,28.93
417,1288,46.657,31.177
417,1308,47.87,35.09
417,1564,46.548,30.681
417,1604,45.981,34.556
417,1900,45.337,28.414
417,1973,49.178,37.474
417,2216,48.595,27.455
417,2240,45.199,33.419
417,2618,46.827,31.59
417,2745,46.186,34.252
417,2810,45.4,28.986
417,2873,46.562,30.74
417,3303,45.486,29.152
417,3567,45.443,33.202
417,3901,46.188,33.765
417,4082,47.841,27.226
417,4724,49.478,32.689
417,4855,47.279,29.122
417,4873,48.485,35.16
418,90,46.781,33.373
418,97,49.081,33.247
418,264,50.587,30.524
418,333,44.691,28.997
418,337,48.556,34.543
418,369,49.77,31.476
418,370,46.015,34.402
418,466,46.078,30.468
418,790,45.335,28.706
418,791,45.82,30.134
418,850,46.116,34.038
418,878,45.587,29.715
418,1246,44.616,28.93
418,1288,46.657,31.177
418,1308,47.87,35.09
418,1564,46.548,30.681
418,1604,45.981,34.556
418,1900,45.337,28.414
418,1973,49.178,37.474
418,2216,48.595,27.455
418,2240,45.199,33.419
418,2618,46.827,31.59
418,2745,46.186,34.252
418,2810,45.4,28.986
418,2873,46.562,30.74
418,3084,49.883,36.982
418,3303,45.486,29.152
418,3567,45.443,33.202
418,3901,46.188,33.765
418,4082,47.841,27.226
418,4724,49.478,32.689
418,4855,47.279,29.122
418,4873,48.485,35.16
419,90,46.781,33.373
419,97,49.081,33.247
419,264,50.587,30.524
419,337,48.556,34.543
419,369,49.77,31.476
419,370,46.015,34.402
419,466,46.078,30.468
419,790,45.335,28.706
419,791,45.82,30.134
419,850,46.116,34.038
419,878,45.587,29.715
419,1288,46.657,31.177
419,1308,47.87,35.09
419,1564,46.548,30.681
419,1973,49.178,37.474
419,2216,48.595,27.455
419,2240,45.199,33.419
419,2618,46.827,31.59
419,2745,46.186,34.252
419,2810,45.4,28.986
419,2873,46.562,30.74
419,3084,49.883,36.982
419,3303,45.486,29.152
419,3567,45.443,33.202
419,3901,46.188,33.765
419,4082,47.841,27.226
419,4724,49.478,32.689
419,4855,47.279,29.122
419,4873,48.485,35.16
420,90,46.781,33.373
420,97,49.081,33.247
420,264,50.587,30.524
420,337,48.556,34.543
420,369,49.77,31.476
420,370,46.015,34.402
420,466,46.078,30.468
420,791,45.82,30.134
420,850,46.116,34.038
420,878,45.587,29.715
420,1288,46.657,31.177
420,1308,47.87,35.09
420,1564,46.548,30.681
420,1973,49.178,37.474
420,2216,48.595,27.455
420,2240,45.199,33.419
420,2618,46.827,31.59
420,2745,46.186,34.252
420,2873,46.562,30.74
420,3084,49.883,36.982
420,3567,45.443,33.202
420,3901,46.188,33.765
420,4082,47.841,27.226
420,4724,49.478,32.689
420,4855,47.279,29.122
420,4873,48.485,35.16
421,90,46.781,33.373
421,97,49.081,33.247
421,264,50.587,30.524
421,337,48.556,34.543
421,369,49.77,31.476
421,370,46.015,34.402
421,466,46.078,30.468
421,850,46.116,34.038
421,1288,46.657,31.177
421,1308,47.87,35.09
421,1564,46.548,30.681
421,1973,49.178,37.474
421,2216,48.595,27.455
421,2240,45.199,33.419
421,2618,46.827,31.59
421,2745,46.186,34.252
421,2873,46.562,30.74
421,3029,51.548,39.137
421,3084,49.883,36.982
421,3567,45.443,33.202
421,3901,46.188,33.765
421,4082,47.841,27.226
421,4724,49.478,32.689
421,4855,47.279,29.122
421,4873,48.485,35.16
422,90,46.781,33.373
422,97,49.081,33.247
422,264,50.587,30.524
422,337,48.556,34.543
422,369,49.77,31.476
422,370,46.015,34.402
422,850,46.116,34.038
422,1288,46.657,31.177
422,1308,47.87,35.09
422,1564,46.548,30.681
422,1973,49.178,37.474
422,2216,48.595,27.455
422,2240,45.199,33.419
422,2618,46.827,31.59
422,2745,46.186,34.252
422,2873,46.562,30.74
422,3029,51.548,39.137
422,3084,49.883,36.982
422,3567,45.443,33.202
422,3901,46.188,33.765
422,4724,49.478,32.689
422,4855,47.279,29.122
422,4873,48.485,35.16
423,90,46.781,33.373
423,97,49.081,33.247
423,264,50.587,30.524
423,337,48.556,34.543
423,369,49.77,31.476
423,370,46.015,34.402
423,850,46.116,34.038
423,1308,47.87,35.09
423,1973,49.178,37.474
423,2618,46.827,31.59
423,2745,46.186,34.252
423,3029,51.548,39.137
423,3084,49.883,36.982
423,3901,46.188,33.765
423,4724,49.478,32.689
423,4873,48.485,35.16
424,90,46.781,33.373
424,97,49.081,33.247
424,264,50.587,30.524
424,337,48.556,34.543
424,369,49.77,31.476
424,370,46.015,34.402
424,850,46.116,34.038
424,1308,47.87,35.09
424,1973,49.178,37.474
424,2745,46.186,34.252
424,2754,56.146,34.539
424,3029,51.548,39.137
424,3084,49.883,36.982
424,4126,55.862,34.884
424,4724,49.478,32.689
424,4873,48.485,35.16
425,97,49.081,33.247
425,264,50.587,30.524
425,337,48.556,34.543
425,369,49.77,31.476
425,1308,47.87,35.09
425,1973,49.178,37.474
425,2754,56.146,34.539
425,3029,51.548,39.137
425,3084,49.883,36.982
425,4126,55.862,34.884
425,4724,49.478,32.689
425,4873,48.485,35.16
426,97,49.081,33.247
426,264,50.587,30.524
426,337,48.556,34.543
426,369,49.77,31.476
426,1308,47.87,35.09
426,1973,49.178,37.474
426,2754,56.146,34.539
426,3029,51.548,39.137
426,3084,49.883,36.982
426,4126,55.862,34.884
426,4724,49.478,32.689
426,4873,48.485,35.16
427,97,49.081,33.247
427,264,50.587,30.524
427,337,48.556,34.543
427,369,49.77,31.476
427,823,56.734,37.122
427,1308,47.87,35.09
427,1973,49.178,37.474
427,2754,56.146,34.539
427,3029,51.548,39.137
427,3084,49.883,36.982
427,4126,55.862,34.884
427,4453,57.003,36.588
427,4724,49.478,32.689
427,4873,48.485,35.16
428,823,56.734,37.122
428,1008,57.526,38.297
428,1973,49.178,37.474
428,2754,56.146,34.539
428,3029,51.548,39.137
428,3084,49.883,36.982
428,3356,56.794,38.723
428,4126,55.862,34.884
428,4453,57.003,36.588
428,4714,52.383,27.974
429,43,58.102,38.702
429,823,56.734,37.122
429,1008,57.526,38.297
429,1973,49.178,37.474
429,2523,57.206,39.485
429,2754,56.146,34.539
429,3029,51.548,39.137
429,3084,49.883,36.982
429,3356,56.794,38.723
429,4126,55.862,34.884
429,4453,57.003,36.588
430,43,58.102,38.702
430,121,56.665,43.385
430,525,59.236,38.49
430,823,56.734,37.122
430,1008,57.526,38.297
430,1973,49.178,37.474
430,2523,57.206,39.485
430,2754,56.146,34.539
430,3029,51.548,39.137
430,3084,49.883,36.982
430,3356,56.794,38.723
430,4126,55.862,34.884
430,4453,57.003,36.588
431,43,58.102,38.702
431,121,56.665,43.385
431,402,59.516,39.796
431,525,59.236,38.49
431,823,56.734,37.122
431,1008,57.526,38.297
431,2523,57.206,39.485
431,2754,56.146,34.539
431,3029,51.548,39.137
431,3084,49.883,36.982
431,3356,56.794,38.723
431,4126,55.862,34.884
431,4453,57.003,36.588
432,43,58.102,38.702
432,121,56.665,43.385
432,402,59.516,39.796
432,525,59.236,38.49
432,823,56.734,37.122
432,1008,57.526,38.297
432,2310,58.418,42.191
432,2523,57.206,39.485
432,2754,56.146,34.539
432,3029,51.548,39.137
432,3356,56.794,38.723
432,3461,58.814,42.565
432,4126,55.862,34.884
432,4453,57.003,36.588
433,43,58.102,38.702
433,121,56.665,43.385
433,172,56.14,47.463
433,402,59.516,39.796
433,525,59.236,38.49
433,823,56.734,37.122
433,1008,57.526,38.297
433,2310,58.418,42.191
433,2523,57.206,39.485
433,2754,56.146,34.539
433,3029,51.548,39.137
433,3356,56.794,38.723
433,3461,58.814,42.565
433,4126,55.862,34.884
433,4453,57.003,36.588
434,43,58.102,38.702
434,121,56.665,43.385
434,172,56.14,47.463
434,402,59.516,39.796
434,525,59.236,38.49
434,823,56.734,37.122
434,1008,57.526,38.297
434,2246,57.572,34.517
434,2310,58.418,42.191
434,2523,57.206,39.485
434,2754,56.146,34.539
434,3029,51.548,39.137
434,3356,56.794,38.723
434,3461,58.814,42.565
434,4126,55.862,34.884
434,4453,57.003,36.588
435,43,58.102,38.702
435,121,56.665,43.385
435,172,56.14,47.463
435,402,59.516,39.796
435,525,59.236,38.49
435,823,56.734,37.122
435,1008,57.526,38.297
435,2246,57.572,34.517
435,2310,58.418,42.191
435,2523,57.206,39.485
435,2754,56.146,34.539
435,3356,56.794,38.723
435,3461,58.814,42.565
435,4126,55.862,34.884
435,4453,57.003,36.588
436,43,58.102,38.702
436,121,56.665,43.385
436,172,56.14,47.463
436,402,59.516,39.796
436,525,59.236,38.49
436,823,56.734,37.122
436,1008,57.526,38.297
436,2242,56.887,33.318
436,2246,57.572,34.517
436,2310,58.418,42.191
436,2523,57.206,39.485
436,2754,56.146,34.539
436,3356,56.794,38.723
436,3461,58.814,42.565
436,4126,55.862,34.884
436,4453,57.003,36.588
437,43,58.102,38.702
437,121,56.665,43.385
437,172,56.14,47.463
437,402,59.516,39.796
437,525,59.236,38.49
437,823,56.734,37.122
437,1008,57.526,38.297
437,2242,56.887,33.318
437,2246,57.572,34.517
437,2310,58.418,42.191
437,2523,57.206,39.485
437,2754,56.146,34.539
437,3356,56.794,38.723
437,3461,58.814,42.565
437,4126,55.862,34.884
437,4453,57.003,36.588
438,43,58.102,38.702
438,121,56.665,43.385
438,172,56.14,47.463
438,402,59.516,39.796
438,525,59.236,38.49
438,823,56.734,37.122
438,1008,57.526,38.297
438,2246,57.572,34.517
438,2310,58.418,42.191
438,2523,57.206,39.485
438,3356,56.794,38.723
438,3461,58.814,42.565
438,4453,57.003,36.588
439,43,58.102,38.702
439,121,56.665,43.385
439,172,56.14,47.463
439,402,59.516,39.796
439,525,59.236,38.49
439,823,56.734,37.122
439,1008,57.526,38.297
439,2246,57.572,34.517
439,2310,58.418,42.191
439,2523,57.206,39.485
439,3356,56.794,38.723
439,3461,58.814,42.565
439,4453,57.003,36.588
440,43,58.102,38.702
440,121,56.665,43.385
440,172,56.14,47.463
440,402,59.516,39.796
440,525,59.236,38.49
