GRID COVERAGE
Epoch [JDUT1] is 2458849.5
Step size [s] is 10.0
Mission Duration [Days] is 1.0
time index,GP index,lat [deg],lon [deg]
481,3405,56.072,14.459
481,3510,56.895,14.744
482,1805,60.167,23.861
484,3248,53.526,14.637
485,2379,54.746,17.53
485,4654,57.201,22.107
486,683,58.377,26.135
486,4258,57.795,25.149
487,4643,56.851,24.274
488,2096,56.813,26.909
488,2887,54.135,21.711
488,2965,52.661,19.136
489,1434,53.686,21.773
489,2096,56.813,26.909
489,2887,54.135,21.711
489,2965,52.661,19.136
489,3096,56.327,27.506
489,3715,54.873,24.003
489,4717,51.855,18.71
490,3096,56.327,27.506
490,3457,56.055,28.213
490,4037,55.592,26.676
490,4254,55.674,27.047
490,4986,55.606,27.106
491,2151,54.819,26.821
491,3310,54.494,26.973
492,3310,54.494,26.973
493,4523,54.667,29.138
495,4714,52.383,27.974
499,264,50.587,30.524
500,2216,48.595,27.455
501,369,49.77,31.476
501,4082,47.841,27.226
502,4724,49.478,32.689
503,97,49.081,33.247
503,4855,47.279,29.122
504,337,48.556,34.543
505,337,48.556,34.543
505,466,46.078,30.468
505,790,45.335,28.706
505,791,45.82,30.134
505,878,45.587,29.715
505,1288,46.657,31.177
505,1564,46.548,30.681
505,1900,45.337,28.414
505,2618,46.827,31.59
505,2810,45.4,28.986
505,2873,46.562,30.74
505,3303,45.486,29.152
505,4873,48.485,35.16
506,90,46.781,33.373
506,333,44.691,28.997
506,791,45.82,30.134
506,878,45.587,29.715
506,1246,44.616,28.93
506,1308,47.87,35.09
507,3901,46.188,33.765
508,117,46.147,34.805
508,370,46.015,34.402
508,803,46.444,35.435
508,850,46.116,34.038
508,1604,45.981,34.556
508,2240,45.199,33.419
508,2745,46.186,34.252
508,3567,45.443,33.202
509,2240,45.199,33.419
509,3154,47.195,38.522
510,652,46.259,38.289
510,1612,45.914,38.144
510,1725,46.252,38.303
510,4302,45.706,37.748
511,760,45.075,37.007
511,1612,45.914,38.144
511,2295,45.327,37.143
511,2571,44.999,37.24
511,2945,45.331,37.436
511,4302,45.706,37.748
512,660,44.985,39.116
512,3281,45.159,39.532
512,4351,45.021,38.077
512,4783,44.988,38.475
513,660,44.985,39.116
513,3281,45.159,39.532
513,3728,40.731,30.331
514,3779,40.04,31.413
515,3779,40.04,31.413
516,2263,41.361,35.722
517,963,39.272,33.518
518,106,38.71,33.427
518,3736,38.558,33.134
520,4443,38.335,35.26
521,433,38.807,38.761
521,2664,37.2,35.279
522,433,38.807,38.761
522,911,38.228,39.137
522,2166,38.502,39.506
522,2664,37.2,35.279
522,4530,37.273,36.27
522,4575,37.04,35.34
523,247,37.485,38.323
523,911,38.228,39.137
523,2166,38.502,39.506
523,4829,37.056,37.889
524,50,38.644,42.948
524,3817,38.852,42.343
524,4829,37.056,37.889
525,811,36.06,37.519
525,1114,36.383,38.183
525,1617,38.689,43.528
526,262,35.855,38.559
527,499,36.629,42.829
528,499,36.629,42.829
530,1430,35.956,44.957
531,508,34.21,42.352
531,1509,35.115,45.71
532,104,33.69,43.46
532,1509,35.115,45.71
532,2107,34.115,44.97
533,915,33.203,43.498
533,2107,34.115,44.97
534,119,32.697,43.893
535,1312,32.673,46.053
535,4371,32.887,45.463
535,4451,31.986,44.273
536,1312,32.673,46.053
536,1439,32.128,45.643
536,3033,32.224,46.593
536,4451,31.986,44.273
537,3033,32.224,46.593
538,1885,31.63,47.571
538,4743,31.686,47.711
539,3163,30.668,47.517
539,3814,30.693,46.702
540,2940,30.516,48.119
540,3163,30.668,47.517
956,3477,37.067,-121.082
957,2502,38.514,-122.107
957,4056,37.703,-120.419
958,1119,38.931,-122.647
958,3902,37.949,-120.523
958,4998,38.71,-121.156
959,953,38.023,-119.002
959,3709,39.54,-121.481
960,348,39.161,-120.142
960,1223,38.698,-118.71
960,1660,40.175,-121.088
960,1668,40.72,-122.422
960,2990,40.803,-122.761
961,362,40.106,-119.581
961,665,40.29,-120.26
961,1692,40.652,-120.727
963,401,41.721,-120.457
963,646,42.239,-121.811
963,1257,41.74,-120.14
963,1853,41.926,-121.078
963,2450,41.465,-120.098
963,4022,41.305,-120.06
963,4076,41.89,-121.502
963,4166,40.47,-118.31
964,1018,42.644,-120.223
964,1577,42.831,-120.744
964,3219,42.948,-122.102
964,4893,42.331,-119.819
965,1018,42.644,-120.223
965,3738,42.69,-119.635
965,4445,43.681,-121.69
966,582,43.327,-118.785
966,1139,40.851,-113.661
966,1399,43.228,-119.045
966,2612,40.638,-113.704
966,4781,40.776,-113.545
967,229,40.93,-113.308
967,622,41.165,-113.112
968,19,41.41,-112.831
968,4174,43.64,-117.239
970,897,42.779,-112.874
970,1794,44.523,-116.053
970,3863,44.835,-116.902
971,2486,43.006,-111.714
971,2765,46.983,-119.265
972,2804,43.331,-111.202
972,3276,46.516,-116.297
973,659,47.955,-118.981
973,1614,47.94,-119.019
973,1618,43.857,-110.591
973,3524,44.863,-111.334
974,476,48.178,-116.998
974,507,44.564,-110.385
974,1359,47.705,-116.951
974,3524,44.863,-111.334
975,334,49.342,-117.775
975,355,47.676,-114.232
975,1831,48.494,-116.889
976,334,49.342,-117.775
976,409,49.469,-117.465
976,1076,48.411,-115.314
976,1417,46.647,-111.726
976,2205,48.34,-114.01
976,2413,49.77,-117.473
977,2289,50.252,-116.944
978,2548,48.323,-111.102
980,3990,50.279,-112.827
981,217,48.001,-106.415
981,2723,50.38,-111.916
982,2128,52.489,-114.022
982,3979,52.323,-114.077
983,1759,52.969,-113.977
983,1955,52.431,-112.998
983,2127,53.536,-114.445
983,3497,52.01,-111.99
984,577,50.094,-105.948
984,1423,53.522,-112.506
984,3020,53.714,-114.33
984,3918,50.435,-106.69
984,4406,50.398,-107.056
984,4546,53.453,-112.949
984,4570,49.112,-104.876
985,442,51.269,-106.865
985,2032,52.76,-109.748
986,742,54.96,-112.249
986,827,50.727,-104.857
986,2317,53.016,-108.354
986,2429,54.2,-110.631
986,2929,53.86,-110.335
986,4577,54.728,-111.897
986,4859,54.271,-110.954
987,500,54.567,-109.845
987,653,51.869,-104.394
987,2466,53.517,-108.705
987,3064,53.51,-107.58
987,3431,52.69,-107.152
987,3722,53.582,-108.918
987,4288,54.641,-111.345
987,4497,54.589,-110.322
987,4732,54.755,-111.289
988,392,54.844,-109.695
988,653,51.869,-104.394
988,1131,51.919,-104.179
988,1353,55.589,-110.516
988,1376,54.072,-107.122
988,1996,54.514,-108.331
988,2229,52.527,-104.973
988,3177,54.451,-109.273
988,3622,51.506,-102.648
988,4214,54.126,-108.394
988,4882,52.61,-105.281
989,267,54.706,-107.586
989,640,54.751,-106.793
989,937,55.218,-108.145
989,1305,53.767,-105.161
989,1366,54.085,-106.069
989,1489,56.481,-110.521
989,1800,54.51,-107.468
989,1833,54.919,-108.061
989,1951,54.435,-106.85
989,2364,53.954,-106.081
989,2472,55.119,-108.449
989,2831,54.04,-106.423
989,3573,54.53,-107.267
989,4532,55.681,-109.027
990,211,55.831,-108.465
990,310,55.817,-108.375
990,378,54.542,-105.598
990,396,55.926,-107.728
990,403,56.153,-108.205
990,678,53.659,-103.402
990,744,55.188,-107.504
990,854,56.405,-109.428
990,2063,55.634,-108.374
990,2208,54.529,-105.927
990,2910,56.331,-109.948
990,3842,55.003,-106.314
990,4393,54.468,-104.992
990,4773,56.455,-110.198
990,4806,54.039,-105.197
991,413,53.958,-102.381
991,454,55.777,-106.186
991,470,56.615,-108.422
991,570,52.642,-100.749
991,682,52.885,-101.187
991,735,54.928,-104.032
991,1094,55.301,-105.203
991,1128,52.572,-100.307
991,1298,55.561,-105.685
991,1316,55.093,-105.357
991,1424,55.837,-106.77
991,1720,55.878,-107.116
991,1919,55.711,-106.016
991,2044,57.005,-108.272
991,2083,54.445,-104.041
991,3136,56.447,-107.356
991,3389,56.006,-107.661
991,3464,55.489,-106.478
991,3896,55.27,-105.653
991,4189,55.399,-106.083
991,4346,56.574,-108.069
991,4740,53.78,-102.555
991,4831,55.734,-106.566
992,125,55.317,-104.558
992,311,54.84,-103.136
992,503,54.416,-102.174
992,735,54.928,-104.032
992,831,55.019,-102.712
992,839,55.669,-105.195
992,1273,54.398,-101.68
992,1397,56.901,-107.872
992,1421,54.382,-102.653
992,1481,55.407,-104.275
992,1515,54.935,-103.022
992,1543,54.062,-101.638
992,2011,55.234,-103.07
992,2207,52.858,-99.546
992,2306,55.451,-103.47
992,2543,57.336,-108.799
992,2617,55.363,-103.364
992,2672,55.703,-105.216
992,3253,57.648,-109.107
992,3383,55.888,-105.34
992,3408,55.586,-104.594
992,3514,52.873,-99.419
992,3528,54.335,-102.591
992,4060,56.39,-105.677
992,4061,54.714,-102.731
992,4122,55.68,-104.804
992,4192,54.605,-103.025
992,4226,55.392,-104.364
992,4272,54.056,-101.435
992,4458,57.648,-109.241
992,4629,54.684,-103.132
992,4663,54.502,-102.94
992,4794,52.546,-99.383
992,4868,54.425,-102.044
993,71,53.16,-99.29
993,124,53.698,-100.277
993,141,57.706,-106.302
993,509,54.187,-100.553
993,623,54.151,-100.912
993,693,54.558,-101.464
993,831,55.019,-102.712
993,959,54.151,-99.818
993,1561,54.669,-101.137
993,1620,56.734,-105.317
993,1637,56.622,-104.316
993,1675,55.396,-101.964
993,1832,57.054,-105.358
993,1839,55.56,-102.57
993,2011,55.234,-103.07
993,2066,54.063,-100.666
993,2223,55.94,-103.108
993,2306,55.451,-103.47
993,2390,56.555,-105.433
993,2619,54.998,-101.559
993,2643,56.993,-105.859
993,2875,57.738,-106.695
993,3118,56.365,-104.316
993,3139,56.02,-103.616
993,3193,55.631,-103.183
993,3484,57.976,-106.855
993,3511,55.254,-102.04
993,3517,57.541,-106.795
993,3683,54.981,-102.389
993,3967,57.933,-107.112
993,4043,55.514,-102.36
993,4298,53.664,-99.914
993,4792,53.842,-99.291
993,4914,57.338,-106.114
994,27,56.234,-103.15
994,141,57.706,-106.302
994,645,55.305,-101.21
994,787,55.771,-101.591
994,930,54.657,-100.269
994,959,54.151,-99.818
994,1009,54.9,-99.666
994,1507,53.931,-99.283
994,1793,56.582,-103.888
994,2136,57.077,-103.744
994,2147,54.502,-99.581
994,2555,55.851,-101.874
994,2595,57.485,-105.115
994,2692,56.894,-103.731
994,2883,55.572,-102.03
994,3135,54.935,-100.387
994,3484,57.976,-106.855
994,3602,57.853,-104.964
994,3702,55.702,-101.228
994,4300,56.471,-102.347
994,4792,53.842,-99.291
995,234,54.055,-97.774
995,349,55.976,-100.489
995,478,54.542,-98.024
995,603,57.071,-103.303
995,614,54.7,-97.875
995,757,58.492,-105.179
995,1015,54.331,-98.319
995,1063,58.248,-104.447
995,1068,56.398,-101.899
