plan_index,t_plan,instrument,t_img
395,38500.0,thermal,38600.0
396,38600.0,thermal,38600.0
396,38600.0,thermal,38630.0
396,38600.0,thermal,38640.0
396,38600.0,thermal,38650.0
398,38700.0,thermal,38760.0
399,38800.0,thermal,38840.0
401,39000.0,thermal,39020.0
402,39100.0,thermal,39170.0
403,39200.0,thermal,39220.0
403,39200.0,thermal,39240.0
403,39200.0,thermal,39250.0
403,39200.0,thermal,39270.0
403,39200.0,thermal,39280.0
429,41800.0,thermal,41860.0
429,41800.0,thermal,41890.0
430,41900.0,thermal,41960.0
432,42100.0,thermal,42130.0
432,42100.0,thermal,42160.0
433,42200.0,thermal,42270.0
434,42300.0,thermal,42400.0
435,42400.0,thermal,42400.0
435,42400.0,thermal,42430.0
435,42400.0,thermal,42450.0
435,42400.0,thermal,42480.0
435,42400.0,thermal,42490.0
436,42500.0,thermal,42500.0
436,42500.0,thermal,42540.0
436,42500.0,thermal,42550.0
437,42600.0,thermal,42660.0
437,42600.0,thermal,42670.0
438,42700.0,thermal,42740.0
439,42800.0,thermal,42830.0
439,42800.0,thermal,42840.0
439,42800.0,thermal,42860.0
439,42800.0,thermal,42870.0
439,42800.0,thermal,42880.0
439,42800.0,thermal,42890.0
440,42900.0,thermal,42920.0
440,42900.0,thermal,42970.0
440,42900.0,thermal,42990.0
441,43000.0,thermal,43040.0
442,43100.0,thermal,43140.0
442,43100.0,thermal,43160.0
442,43100.0,thermal,43200.0
443,43200.0,thermal,43200.0
443,43200.0,thermal,43210.0
443,43200.0,thermal,43230.0
443,43200.0,thermal,43240.0
443,43200.0,thermal,43260.0
443,43200.0,thermal,43270.0
443,43200.0,thermal,43290.0
444,43300.0,thermal,43360.0
444,43300.0,thermal,43370.0
444,43300.0,thermal,43380.0
446,43500.0,thermal,43560.0
446,43500.0,thermal,43590.0
447,43600.0,thermal,43690.0
447,43600.0,thermal,43700.0
448,43700.0,thermal,43700.0
448,43700.0,thermal,43710.0
448,43700.0,thermal,43720.0
448,43700.0,thermal,43730.0
448,43700.0,thermal,43740.0
448,43700.0,thermal,43750.0
448,43700.0,thermal,43760.0
448,43700.0,thermal,43790.0
449,43800.0,thermal,43890.0
449,43800.0,thermal,43900.0
450,43900.0,thermal,43900.0
450,43900.0,thermal,43920.0
450,43900.0,thermal,43990.0
465,45400.0,thermal,45450.0
465,45400.0,thermal,45470.0
465,45400.0,thermal,45480.0
465,45400.0,thermal,45500.0
466,45500.0,thermal,45500.0
466,45500.0,thermal,45510.0
466,45500.0,thermal,45520.0
466,45500.0,thermal,45540.0
466,45500.0,thermal,45550.0
466,45500.0,thermal,45560.0
481,47000.0,thermal,47080.0
489,47800.0,thermal,47860.0
490,47900.0,thermal,48000.0
491,48000.0,thermal,48000.0
491,48000.0,thermal,48020.0
491,48000.0,thermal,48040.0
491,48000.0,thermal,48080.0
491,48000.0,thermal,48090.0
492,48000.0,thermal,48020.0
492,48000.0,thermal,48040.0
492,48000.0,thermal,48080.0
492,48000.0,thermal,48090.0
493,48100.0,thermal,48110.0
493,48100.0,thermal,48130.0
493,48100.0,thermal,48160.0
493,48100.0,thermal,48180.0
493,48100.0,thermal,48200.0
494,48200.0,thermal,48200.0
494,48200.0,thermal,48240.0
494,48200.0,thermal,48260.0
494,48200.0,thermal,48300.0
495,48300.0,thermal,48300.0
495,48300.0,thermal,48320.0
495,48300.0,thermal,48370.0
495,48300.0,thermal,48380.0
496,48400.0,thermal,48440.0
496,48400.0,thermal,48450.0
497,48500.0,thermal,48530.0
497,48500.0,thermal,48550.0
498,48600.0,thermal,48670.0
499,48700.0,thermal,48750.0
499,48700.0,thermal,48760.0
500,48800.0,thermal,48840.0
500,48800.0,thermal,48900.0
501,48900.0,thermal,48900.0
501,48900.0,thermal,48910.0
501,48900.0,thermal,48920.0
501,48900.0,thermal,48930.0
501,48900.0,thermal,48940.0
501,48900.0,thermal,48960.0
501,48900.0,thermal,48970.0
501,48900.0,thermal,48990.0
502,49000.0,thermal,49060.0
503,49100.0,thermal,49140.0
503,49100.0,thermal,49160.0
504,49200.0,thermal,49280.0
504,49200.0,thermal,49290.0
504,49200.0,thermal,49300.0
505,49300.0,thermal,49300.0
505,49300.0,thermal,49370.0
539,52700.0,thermal,52740.0
540,52800.0,thermal,52840.0
540,52800.0,thermal,52880.0
541,52900.0,thermal,52980.0
542,53000.0,thermal,53060.0
543,53100.0,thermal,53140.0
543,53100.0,thermal,53190.0
544,53200.0,thermal,53250.0
544,53200.0,thermal,53260.0
544,53200.0,thermal,53300.0
